"AnySection","JSMtot","USA.CAN","DontPublish","MEMTYPE","Age","AgeJoinedASA","Gender","EmploymentCategory","InChapter","P.SEC.BE","P.SEC.BIOM","P.SEC.BIOP","P.SEC.CNSL","P.SEC.COMP","P.SEC.EDUC","P.SEC.ENVR","P.SEC.EPI","P.SEC.GOVT","P.SEC.GRPH","P.SEC.HPSS","P.SEC.MDD","P.SEC.MHS","P.SEC.MKTG","P.SEC.NPAR","P.SEC.QP","P.SEC.SBSS","P.SEC.SDNS","P.SEC.SGG","P.SEC.SI","P.SEC.SIS","P.SEC.SLDM","P.SEC.SOC","P.SEC.SPES","P.SEC.SRMS","P.SEC.SSPA","P.SEC.TSHS"
"No",0,"Yes","No","IREG",62,32,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","No","ISEN",71,41,"F","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",4,"Yes","No","IREG",61,31,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",52,35,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","ISEN",83,53,"M","Other","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Yes",1,"Yes","No","IREG",54,24,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",82,52,"F","Other","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",60,30,"F","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",59,29,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",67,37,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","ISEN",NA,NA,"M","Business and Industry","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No"
"No",0,"Yes","No","IREG",55,25,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",53,23,"M","Business and Industry","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",54,24,"F","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","Yes","IREG",68,38,"M",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",60,30,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",58,28,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","IREG",62,32,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",87,57,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",56,26,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","IREG",55,25,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","Yes","IDEV",65,35,"F","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",69,39,"M","Business and Industry","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",60,30,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",58,28,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","ISEN",79,49,"NA",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",NA,NA,"NA","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","No","ISEN",86,42,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",57,27,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","Yes","IREG",56,26,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",62,32,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",57,27,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",71,41,"M","Private Consultant/Self Employed","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",61,31,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",59,29,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",4,"Yes","No","IREG",64,34,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","Yes","ILIFA",59,29,"NA","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","ILIFA",56,26,"NA","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","ILIFA",67,37,"M","Academic (not student)","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"Yes",0,"Yes","No","IREG",NA,NA,"F","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",4,"Yes","No","IREG",60,30,"F","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",59,29,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",74,44,"F","Private Consultant/Self Employed","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",57,27,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",59,29,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",1,"Yes","No","IREG",71,41,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",65,35,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","ISEN",70,40,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",1,"Yes","No","IREG",65,35,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","Yes","ISEN",74,44,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","Yes","IREG",64,34,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","Yes","IREG",59,29,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",85,55,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",63,33,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",59,29,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",61,31,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",4,"No","No","IREG",NA,NA,"F","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","ILIFA",60,30,"M","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",4,"Yes","No","ILIFA",64,34,"M",NA,"No","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No"
"No",1,"Yes","No","ISEN",73,43,"M",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"No","No","IREG",58,28,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ILIFA",60,30,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",52,22,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",62,32,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",55,25,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",55,25,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",58,28,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","ISEN",62,32,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",55,25,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",56,26,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",50,20,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",1,"Yes","No","IREG",59,29,"F","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",59,29,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","ILIFA",57,27,"F","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Yes",3,"Yes","No","ISEN",69,39,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",56,26,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",55,25,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",59,29,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",66,36,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ISEN",74,44,"M","Private Consultant/Self Employed","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"Yes",4,"Yes","No","IREG",67,37,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",56,27,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","No","IREG",62,32,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","IREG",53,23,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","I2YC",69,39,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IFAM",67,37,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","ISEN",85,55,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",55,25,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",57,27,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","ISEN",79,49,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"No","Yes","IREG",54,24,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","ISEN",66,36,"M","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"No","No","IREG",61,31,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","ILIFA",58,28,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","ISEN",67,37,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",62,32,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",65,35,"F","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",NA,NA,"NA",NA,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",57,28,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",69,40,"NA","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",58,29,"F","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","IREG",54,25,"F","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",57,28,"M","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",NA,NA,"F","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","IREG",64,35,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",57,28,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","ISEN",70,41,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",2,"Yes","No","ISTU",56,27,"F","Federal/National Government","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ILIFF",69,40,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",4,"Yes","No","IREG",60,31,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","ILIFF",80,25,"NA","Business and Industry","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No"
"No",0,"Yes","No","IREG",69,40,"M","Private Consultant/Self Employed","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IK12",58,29,"M","Other","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",NA,NA,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"No",1,"Yes","No","IREG",61,32,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","No","IDEV",62,33,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",52,23,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","IREG",68,39,"F","Federal/National Government","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",NA,NA,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",52,23,"F","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",73,44,"M","Private Consultant/Self Employed","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",4,"No","No","ISEN",73,44,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","Yes","IREG",60,31,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",56,27,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","ISEN",67,38,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",1,"Yes","No","IREG",60,31,"F","Private Consultant/Self Employed","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",53,24,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",62,33,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",60,31,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",63,34,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",58,29,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",3,"Yes","No","IREG",57,28,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",3,"Yes","No","ILIFA",55,26,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",68,39,"M","Private Consultant/Self Employed","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",60,31,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"No","No","IREG",62,33,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",65,36,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","Yes","IREG",56,27,"F","Private Consultant/Self Employed","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",56,27,"M","Business and Industry","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",57,28,"M","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",53,24,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","ILIFA",59,30,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",2,"Yes","No","IREG",56,27,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",0,"Yes","No","IREG",53,24,"F","Academic (not student)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","IREG",55,26,"M","Business and Industry","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"Yes","No","IREG",64,35,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",3,"Yes","No","IREG",61,32,"M","Other","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No",0,"No","No","IREG",58,29,"M","Academic (not student)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes",5,"Yes","No","ISEN",NA,NA,"M","Federal/National Government","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
